ts_event,SPY,AAPL,MSFT,AMZN,GOOG,NVDA,TSLA,META
2018-05-01 00:00:00+00:00,0.8959353808612167,,,,,,,
2018-05-02 00:00:00+00:00,0.8990717470180333,0.23641104950922368,0.9348611455082416,0.05005357142857143,0.04988819248639839,0.024827428488336623,0.06651207294864062,0.9967607101105369
2018-05-03 00:00:00+00:00,0.8953850458366017,0.23601008033584958,0.9285917717065191,0.04997059758423395,0.04971027199151337,0.024704856528646627,0.06678406671824677,0.9950509886381453
2018-05-04 00:00:00+00:00,0.8959710082961952,0.23612030180885155,0.9292996625494375,0.05001423600126543,0.04984190709134428,0.024730666493280717,0.06673020827416404,0.9955745090475803
2018-05-07 00:00:00+00:00,0.8970815127657861,0.2363889476071603,0.9300888653321175,0.050035334363137195,0.049820985292162626,0.02471632631565336,0.06677032495296091,0.9968107044117339
2018-05-08 00:00:00+00:00,0.8965773455611594,0.236273710624052,0.9319321237504287,0.04999654631083204,0.04986261987717646,0.02473132202381055,0.06670201747180368,0.9961945939578074
2018-05-09 00:00:00+00:00,0.8964768155271953,0.23618500136320628,0.93134253784594,0.05000590865836138,0.04977868931321239,0.024701691151833072,0.06674062597587903,0.9948873949280105
2018-05-10 00:00:00+00:00,0.8981606927982975,0.23677086833145583,0.931432956506003,0.050060667152003885,0.04992059269579409,0.025221204152885333,0.06681343601890445,0.9974849318203467
2018-05-11 00:00:00+00:00,0.8968388376489459,0.2370707603624745,0.9310527614556997,0.05001248042133903,0.04984867244291944,0.024781172832207432,0.06666446081902624,0.9965143482810166
2018-05-14 00:00:00+00:00,0.8971019084852111,0.23724713782604995,0.9316224426154237,0.050024675933156335,0.04988446306738016,0.024780083768899105,0.0668291874673053,0.9964081404945617
2018-05-15 00:00:00+00:00,0.8968407324759283,0.2372482949683728,0.9312449230617077,0.049956259904912835,0.04981775405990982,0.024776427712760656,0.06679124182040315,0.9964108289467279
2018-05-16 00:00:00+00:00,0.8969381000919319,0.23717145689105515,0.9361496005791452,0.050039091069582105,0.0497644019016646,0.024761253666067424,0.06668762559861736,0.9966298034789776
2018-05-17 00:00:00+00:00,0.8968396902496459,0.23723522663530056,0.934216979231825,0.05000221282299313,0.04983484640150023,0.024725186429959054,0.06667604831426752,0.9964657263387223
2018-05-18 00:00:00+00:00,0.8962456450299475,0.23699383911162186,0.9350909870648609,0.050006352554044356,0.049856050408827374,0.024756221996265128,0.06664741427699235,0.9961945939578075
2018-05-21 00:00:00+00:00,0.8966411799503177,0.2371210431474286,0.9344182064014597,0.05001451104100947,0.049801610464549,0.02475629910004254,0.0666994985463405,0.9961405996708722
2018-05-22 00:00:00+00:00,0.896378221062374,0.23688056811034286,0.9345135140934717,0.049988936304725784,0.04980422450128973,0.024704433439553093,0.06657226699814434,0.9958695005408736
2018-05-23 00:00:00+00:00,0.8972976943799886,0.2372469971701352,0.9356555951877749,0.05001748579279336,0.04990788692821098,0.0248005271659244,0.06668818206456616,0.9969947502581753
2018-05-24 00:00:00+00:00,0.896050109438401,0.2369950824339373,0.9363255364417506,0.050002183406113544,0.049820985292162626,0.024774455065982443,0.06671469724004059,0.9964625610855132
2018-05-25 00:00:00+00:00,0.8963449942023329,0.23713361784346443,0.936229479763133,0.05,0.04985342807115395,0.024788295061190267,0.06665472342718194,0.9963023489165914
2018-05-29 00:00:00+00:00,0.8948800524092044,0.2368815142081016,0.9339439974095028,0.04998574377219788,0.0498158172863705,0.02475248626037859,0.0666150283076166,0.9956049711150025
2018-05-30 00:00:00+00:00,0.8969045541952227,0.2372475751875286,0.9360320618824672,0.0499993845812999,0.049797201275819984,0.024767304867515532,0.06655716109836209,0.9957701169004618
2018-05-31 00:00:00+00:00,0.8963447615002226,0.23717181037820467,0.9368874583430641,0.04996688538664377,0.04945135013461123,0.024731032458734616,0.06666667514377278,0.9936557925273227
2018-06-01 00:00:00+00:00,0.896248180452964,0.23700891739802876,0.9359183450503571,0.05003474762253109,0.04977652211921112,0.02478161476212791,0.0667329919406434,0.9962459494889943
2018-06-04 00:00:00+00:00,0.8966406646153382,0.2369110922238085,0.9349888673560169,0.049983191562164214,0.04979912995684114,0.024765127294585815,0.06683334183163221,0.9969683173000832
2018-06-05 00:00:00+00:00,0.8956961270705182,0.23708424977153938,0.9330707554021319,0.05000324246568882,0.04982317117089712,0.02473618892338789,0.06657977131009767,0.995059975969245
2018-06-06 00:00:00+00:00,0.8957671487090506,0.23729230267095644,0.9365417233593999,0.04999793610170891,0.04989295810485347,0.024765122003776383,0.06697903433362286,0.9965591760751131
2018-06-07 00:00:00+00:00,0.8958316431650898,0.23735415226005865,0.935360504820517,0.05003109729009329,0.049814779831361115,0.024778359507594477,0.06665402292011748,0.9974667377406632
2018-06-08 00:00:00+00:00,0.8965743994967387,0.2371210431474286,0.9347129599531974,0.05005915576694411,0.049820985292162626,0.02478691353439274,0.06666877389003893,1.000958542600539
2018-06-11 00:00:00+00:00,0.8963169434434949,0.2370962461755962,0.9353597245027301,0.05001095484826055,0.049860256106891196,0.024757602132053295,0.06662254097029051,0.9969232629398037
2018-06-12 00:00:00+00:00,0.8958355082925071,0.23712104314742863,0.9342513845914536,0.050023557819723785,0.04989894418048308,0.024784993449244033,0.06662197154236443,0.9961945939578074
2018-06-13 00:00:00+00:00,0.8969940761018695,0.23714591424488476,0.9347115375624578,0.05003110693743397,0.04981176731250504,0.02477083609839802,0.06643160767650282,0.9957805695019052
