date,mktrf,smb,hml,rmw,cma,rf,umd
2021-04-05,0.012700,-0.006900,-0.007200,0.009900,0.001000,0.00000,-0.004800
2021-04-06,0.000100,-0.003300,0.001000,-0.001100,-0.002700,0.00000,0.006800
2021-04-07,-0.001200,-0.015400,0.003000,0.006900,-0.001000,0.00000,-0.008100
2021-04-08,0.006200,0.002700,-0.011600,-0.005400,-0.003800,0.00000,0.011500
2021-04-09,0.006500,-0.006200,0.001300,0.007900,0.001400,0.00000,-0.001700
2021-04-12,-0.000500,-0.004600,0.005800,0.007300,-0.003400,0.00000,-0.002300
2021-04-13,0.004100,-0.007800,-0.015800,-0.010600,-0.003900,0.00000,0.009100
2021-04-14,-0.003500,0.011700,0.014200,0.000200,0.006800,0.00000,-0.001600
2021-04-15,0.010400,-0.007800,-0.011800,0.001000,-0.005400,0.00000,-0.007400
2021-04-16,0.002700,-0.001900,0.006400,0.008200,0.001800,0.00000,-0.002900
2021-04-19,-0.007300,-0.006600,0.007800,0.007300,0.004300,0.00000,-0.012200
2021-04-20,-0.009400,-0.013700,-0.015700,0.003900,-0.004800,0.00000,-0.020600
2021-04-21,0.011100,0.015200,0.001100,-0.004600,0.000900,0.00000,0.019700
2021-04-22,-0.007700,0.006300,-0.007800,-0.002000,-0.002000,0.00000,-0.001200
2021-04-23,0.012600,0.007600,0.007000,-0.003400,0.000500,0.00000,0.018100
2021-04-26,0.004300,0.007900,-0.004800,-0.012000,-0.000700,0.00000,0.014300
2021-04-27,-0.000300,0.000800,0.008600,0.005400,0.000400,0.00000,0.000600
2021-04-28,-0.000600,0.002900,0.002000,-0.003000,-0.003400,0.00000,-0.001500
2021-04-29,0.003900,-0.007600,0.010700,0.013400,-0.002200,0.00000,-0.008600
2021-04-30,-0.008300,-0.005100,-0.003200,0.001200,-0.004400,0.00000,-0.004600
2021-05-03,0.001700,0.007500,0.017000,0.010500,0.010800,0.00000,-0.003500
2021-05-04,-0.008900,-0.002500,0.019900,0.011000,0.006000,0.00000,-0.001900
2021-05-05,-0.000500,-0.001600,0.013300,0.006500,0.006400,0.00000,0.002900
2021-05-06,0.004800,-0.005300,0.012100,0.012400,0.005900,0.00000,-0.010200
2021-05-07,0.008400,0.004600,-0.001000,-0.002400,0.001400,0.00000,0.012000
2021-05-10,-0.013600,-0.012900,0.016900,0.011700,0.007400,0.00000,-0.022600
2021-05-11,-0.006300,0.006800,-0.008600,-0.008200,-0.000800,0.00000,0.000000
2021-05-12,-0.023400,-0.011400,0.007000,-0.002800,0.001300,0.00000,-0.025500
2021-05-13,0.010200,0.004600,0.011400,0.013900,0.003600,0.00000,-0.001500
2021-05-14,0.018100,0.009700,-0.001400,-0.002400,-0.000200,0.00000,0.017400
2021-05-17,-0.002400,0.007300,0.008200,0.000100,0.005700,0.00000,0.002800
2021-05-18,-0.006900,0.000400,-0.009200,-0.010200,-0.004400,0.00000,-0.002700
2021-05-19,-0.003400,-0.005200,-0.004500,-0.001800,-0.003300,0.00000,-0.007000
2021-05-20,0.011500,-0.005000,-0.014000,-0.008400,-0.005100,0.00000,0.001900
2021-05-21,-0.000400,0.004500,0.009800,-0.001200,-0.000700,0.00000,0.002400
2021-05-24,0.009900,-0.004800,-0.006700,0.002700,-0.003100,0.00000,0.011100
2021-05-25,-0.003000,-0.008700,-0.012000,0.002200,-0.001900,0.00000,0.002400
2021-05-26,0.004700,0.017900,0.005500,-0.005500,0.001500,0.00000,0.017400
2021-05-27,0.002800,0.010800,0.009500,-0.002700,0.002900,0.00000,0.015700
2021-05-28,0.000400,-0.003600,-0.003200,-0.002000,-0.004100,0.00000,-0.003700
2021-06-01,0.000300,0.014200,0.014300,0.002900,0.004200,0.00000,0.009400
2021-06-02,0.001200,-0.002100,0.003400,-0.000800,0.006800,0.00000,-0.007000
2021-06-03,-0.005300,-0.002500,0.007300,0.004100,0.003100,0.00000,-0.010300
2021-06-04,0.008900,-0.006000,-0.009000,-0.001300,-0.002100,0.00000,0.003700
2021-06-07,0.001500,0.012500,-0.009100,-0.009800,-0.002400,0.00000,0.006500
2021-06-08,0.001900,0.010800,-0.003100,0.000600,-0.000500,0.00000,0.004700
2021-06-09,-0.003000,-0.004500,-0.008400,0.001600,0.001600,0.00000,-0.011700
2021-06-10,0.004000,-0.013400,-0.020300,-0.005300,-0.010900,0.00000,-0.016200
2021-06-11,0.003700,0.007100,0.001800,0.000500,-0.000200,0.00000,0.006200
2021-06-14,0.001500,-0.007500,-0.016200,-0.005800,-0.004900,0.00000,-0.009400
2021-06-15,-0.003000,0.002300,0.013000,0.006900,0.001200,0.00000,0.000000
2021-06-16,-0.004500,0.004300,0.001900,-0.003400,-0.002400,0.00000,0.003600
2021-06-17,0.000100,-0.013500,-0.035700,-0.006800,-0.011000,0.00000,-0.018000
2021-06-18,-0.012200,-0.008000,-0.014500,-0.004200,-0.006900,0.00000,-0.004600
2021-06-21,0.013500,0.008300,0.010400,0.004100,0.003400,0.00000,0.013500
2021-06-22,0.005800,-0.000900,-0.004600,0.001900,0.002400,0.00000,0.004600
2021-06-23,0.000100,0.005000,-0.002800,-0.004800,-0.002300,0.00000,0.011800
2021-06-24,0.006900,0.007400,0.002500,-0.003800,0.002400,0.00000,0.007100
2021-06-25,0.003200,-0.005100,0.004400,-0.001300,0.000400,0.00000,-0.005600
2021-06-28,0.002200,-0.008400,-0.015900,-0.005100,-0.001300,0.00000,0.001200
2021-06-29,0.000000,-0.004100,-0.002800,0.003200,0.003900,0.00000,0.000900
2021-06-30,0.000700,0.001200,0.007700,0.007300,0.006200,0.00000,0.007800
2021-07-01,0.004300,0.004000,0.004100,0.000100,0.004200,0.00000,-0.002600
2021-07-02,0.005600,-0.015200,-0.007200,0.006700,-0.001500,0.00000,-0.008200
2021-07-06,-0.002800,-0.010400,-0.020000,0.005700,-0.007100,0.00000,-0.014800
2021-07-07,0.000900,-0.008600,0.000800,0.017000,0.003300,0.00000,-0.011400
2021-07-08,-0.008600,-0.000100,-0.007700,-0.002200,-0.000300,0.00000,-0.003200
2021-07-09,0.012500,0.008400,0.015700,-0.001800,0.003600,0.00000,0.017100
2021-07-12,0.002300,-0.000200,0.005800,0.003000,-0.002900,0.00000,0.008900
2021-07-13,-0.005600,-0.012200,-0.004200,0.007100,0.001300,0.00000,-0.012400
2021-07-14,-0.002600,-0.011700,0.003400,0.019300,0.006000,0.00000,-0.014000
2021-07-15,-0.003800,-0.002600,0.007900,0.003400,-0.000700,0.00000,-0.006200
2021-07-16,-0.007700,-0.003800,-0.012800,0.001200,-0.008300,0.00000,-0.015700
2021-07-19,-0.014200,0.000400,-0.017500,-0.004300,-0.011200,0.00000,-0.006400
2021-07-20,0.016900,0.008400,0.001600,-0.005600,0.003800,0.00000,0.016300
2021-07-21,0.009500,0.007100,0.008100,-0.009800,0.000600,0.00000,0.019100
2021-07-22,0.000900,-0.015500,-0.010100,0.005000,-0.003800,0.00000,-0.006800
2021-07-23,0.009800,-0.003200,-0.004800,0.004800,-0.003600,0.00000,0.000900
2021-07-26,0.001800,0.000900,0.013400,0.002700,0.008800,0.00000,0.009900
2021-07-27,-0.006600,-0.004500,0.005800,0.004500,0.001100,0.00000,-0.010800
2021-07-28,0.002700,0.012100,-0.006600,-0.015500,-0.007300,0.00000,0.006000
2021-07-29,0.004100,0.002200,0.009400,0.008200,0.005200,0.00000,0.008000
2021-07-30,-0.006500,-0.000800,-0.001700,0.005600,0.003900,0.00000,-0.000500
2021-08-02,-0.001200,-0.001200,-0.004100,-0.000600,-0.003100,0.00000,-0.000500
2021-08-03,0.007300,-0.004000,0.009200,0.006400,0.002000,0.00000,0.004900
2021-08-04,-0.003900,-0.009500,-0.015800,-0.003600,-0.010900,0.00000,-0.002000
2021-08-05,0.007400,0.010600,-0.000900,-0.013100,-0.004300,0.00000,0.008500
2021-08-06,0.000900,0.004600,0.019000,0.006000,0.003300,0.00000,0.004900
2021-08-09,0.000100,-0.004500,-0.002700,-0.006200,-0.005400,0.00000,0.006700
2021-08-10,0.000600,0.003600,0.018500,0.007300,0.009000,0.00000,0.004100
2021-08-11,0.001900,0.002900,0.014100,0.008800,0.005000,0.00000,-0.003000
2021-08-12,0.002400,-0.006900,-0.003900,0.000600,0.001000,0.00000,0.003400
2021-08-13,0.000000,-0.009500,-0.002400,0.007000,-0.000100,0.00000,-0.008700
2021-08-16,-0.000500,-0.008600,0.000400,0.016600,0.001600,0.00000,-0.004900
2021-08-17,-0.008000,-0.004900,-0.001200,-0.003000,0.001000,0.00000,-0.012600
2021-08-18,-0.009500,0.001100,-0.001700,-0.002900,-0.006700,0.00000,0.004500
2021-08-19,-0.001500,-0.009500,-0.008300,0.013900,-0.004600,0.00000,-0.008400
2021-08-20,0.009200,0.008500,-0.004700,-0.003800,-0.003000,0.00000,0.002200
2021-08-23,0.010800,0.007600,-0.008400,-0.018400,-0.000600,0.00000,0.007500
2021-08-24,0.004100,0.004100,0.003600,-0.007300,0.000800,0.00000,0.009500
2021-08-25,0.002600,0.000500,0.003700,-0.004100,-0.000200,0.00000,0.007200
2021-08-26,-0.006500,-0.004300,-0.003300,-0.000600,-0.001600,0.00000,-0.003200
2021-08-27,0.010700,0.016400,0.003100,-0.007100,0.001400,0.00000,0.009500
2021-08-30,0.003500,-0.006900,-0.013600,0.006600,0.001300,0.00000,-0.011600
2021-08-31,-0.001300,0.004600,-0.000500,-0.004600,-0.002200,0.00000,-0.002300
2021-09-01,0.001100,0.003900,-0.009300,-0.004200,-0.003700,0.00000,-0.005800
2021-09-02,0.003600,0.002100,-0.000400,-0.004300,0.005800,0.00000,0.002200
2021-09-03,-0.000100,-0.005500,-0.002700,0.000400,-0.002800,0.00000,0.002500
2021-09-07,-0.003600,-0.003700,-0.000800,-0.005900,0.001700,0.00000,0.002500
2021-09-08,-0.003400,-0.007400,0.000800,0.007500,0.001900,0.00000,-0.009600
2021-09-09,-0.002700,0.002500,0.000900,-0.007900,-0.003100,0.00000,0.009100
2021-09-10,-0.007600,-0.000300,0.000300,0.002100,-0.004700,0.00000,-0.002500
2021-09-13,0.001400,0.002200,0.013300,0.002100,0.009900,0.00000,0.000000
2021-09-14,-0.006600,-0.006700,-0.009700,0.004400,-0.004700,0.00000,-0.001200
2021-09-15,0.008800,0.001200,0.006500,-0.002400,0.004800,0.00000,0.010400
2021-09-16,-0.000300,-0.000800,-0.005600,-0.004100,-0.005600,0.00000,-0.001100
2021-09-17,-0.007200,0.009700,-0.000500,-0.006400,-0.004400,0.00000,-0.007400
2021-09-20,-0.018700,-0.005700,0.002100,0.007600,0.002700,0.00000,-0.006900
2021-09-21,0.000500,0.002500,-0.006700,-0.004400,-0.003300,0.00000,0.001500
2021-09-22,0.010000,0.001400,0.005400,-0.005200,0.004800,0.00000,0.013400
2021-09-23,0.012800,0.004600,0.009300,-0.010100,0.002000,0.00000,0.010900
2021-09-24,0.000800,-0.003900,0.007000,0.005700,0.002600,0.00000,0.002400
2021-09-27,-0.001000,0.017000,0.024400,-0.002700,0.007300,0.00000,0.006600
2021-09-28,-0.021800,-0.000100,0.017500,0.008400,0.010800,0.00000,-0.006300
2021-09-29,0.000300,-0.002000,0.008100,0.011600,0.003200,0.00000,-0.004900
2021-09-30,-0.010200,0.000700,-0.007700,-0.012100,-0.003600,0.00000,-0.001100
2021-10-01,0.011000,0.004700,0.005000,-0.001000,0.006000,0.00000,0.006200
2021-10-04,-0.014300,0.004000,0.023300,0.006900,0.010900,0.00000,0.000700
2021-10-05,0.010500,-0.005700,-0.000500,-0.000700,-0.003000,0.00000,0.006600
2021-10-06,0.003300,-0.009900,-0.005000,0.003400,-0.006700,0.00000,-0.008600
2021-10-07,0.010100,0.004500,-0.001600,-0.000800,0.000500,0.00000,0.006400
2021-10-08,-0.002700,-0.004500,0.011200,0.000900,0.006200,0.00000,0.000400
2021-10-11,-0.007200,0.002100,-0.002700,-0.000300,0.002900,0.00000,0.000500
2021-10-12,-0.000600,0.005500,-0.004300,-0.008800,-0.002600,0.00000,-0.000400
2021-10-13,0.004300,-0.000900,-0.010500,-0.004700,-0.007700,0.00000,-0.004300
2021-10-14,0.016600,-0.003700,-0.002700,-0.000100,-0.001200,0.00000,0.001100
2021-10-15,0.006300,-0.011300,0.003000,0.003800,-0.000500,0.00000,0.001300
2021-10-18,0.004100,-0.004200,0.000000,0.005600,-0.000600,0.00000,0.013800
2021-10-19,0.007100,-0.004600,-0.002500,-0.001700,0.000900,0.00000,-0.007200
2021-10-20,0.003400,0.002200,0.011900,0.002900,0.005200,0.00000,0.001000
2021-10-21,0.003700,0.000400,-0.009600,0.003300,-0.006200,0.00000,0.000300
2021-10-22,-0.002500,0.000100,0.010100,0.004400,0.004600,0.00000,0.003100
2021-10-25,0.005800,0.003700,-0.001400,-0.004200,-0.003700,0.00000,0.012400
2021-10-26,0.000400,-0.007700,-0.003100,-0.003600,-0.001500,0.00000,-0.002100
2021-10-27,-0.007600,-0.009500,-0.011900,0.008500,-0.006100,0.00000,-0.000900
2021-10-28,0.011400,0.008200,-0.004900,-0.003000,-0.001700,0.00000,0.007300
2021-10-29,0.002200,0.001400,-0.008300,0.005700,-0.007800,0.00000,0.005600
2021-11-01,0.005100,0.020500,0.004500,-0.011300,0.000200,0.00000,0.010500
2021-11-02,0.002400,-0.003200,-0.005400,0.004300,0.001400,0.00000,0.000000
2021-11-03,0.008000,0.014400,-0.001300,0.002000,-0.003900,0.00000,-0.002900
2021-11-04,0.003900,-0.002800,-0.013600,0.006600,-0.007200,0.00000,-0.005100
2021-11-05,0.003800,0.007800,0.012000,0.000100,0.013000,0.00000,0.007900
2021-11-08,0.001800,0.000100,0.000800,-0.004900,-0.000700,0.00000,0.005200
