Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity
TRMB,TRIMBLE INC,Information Technology,Equity,"202,811,865.00",0.03,"202,811,865.00","2,870,250.00"
NI,NISOURCE INC,Utilities,Equity,"201,478,986.80",0.03,"201,478,986.80","5,480,930.00"
VRSN,VERISIGN INC,Information Technology,Equity,"200,832,328.32",0.03,"200,832,328.32","970,392.00"
KEY,KEYCORP,Financials,Equity,"199,497,447.74",0.03,"199,497,447.74","11,639,291.00"
DGX,QUEST DIAGNOSTICS INC,Health Care,Equity,"197,438,930.16",0.03,"197,438,930.16","1,308,756.00"
OMC,OMNICOM GROUP INC,Communication,Equity,"197,098,625.16",0.03,"197,098,625.16","2,290,779.00"
BBY,BEST BUY INC,Consumer Discretionary,Equity,"196,859,863.20",0.03,"196,859,863.20","2,294,404.00"
HOLX,HOLOGIC INC,Health Care,Equity,"196,553,961.72",0.03,"196,553,961.72","2,726,508.00"
DG,DOLLAR GENERAL CORP,Consumer Staples,Equity,"195,735,698.88",0.03,"195,735,698.88","2,581,584.00"
MOH,MOLINA HEALTHCARE INC,Health Care,Equity,"195,470,635.25",0.03,"195,470,635.25","671,605.00"
PNR,PENTAIR,Industrials,Equity,"195,260,721.60",0.03,"195,260,721.60","1,940,190.00"
J,JACOBS SOLUTIONS INC,Industrials,Equity,"194,944,765.38",0.03,"194,944,765.38","1,458,949.00"
BALL,BALL CORP,Materials,Equity,"193,181,143.26",0.03,"193,181,143.26","3,504,102.00"
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity,"193,142,023.65",0.03,"193,142,023.65","1,351,305.00"
TSN,TYSON FOODS INC CLASS A,Consumer Staples,Equity,"192,990,932.80",0.03,"192,990,932.80","3,359,870.00"
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,Equity,"191,268,188.86",0.03,"191,268,188.86","2,470,846.00"
JBL,JABIL INC,Information Technology,Equity,"190,658,722.10",0.03,"190,658,722.10","1,324,939.00"
GPC,GENUINE PARTS,Consumer Discretionary,Equity,"190,616,888.28",0.03,"190,616,888.28","1,632,553.00"
STLD,STEEL DYNAMICS INC,Materials,Equity,"189,650,614.67",0.03,"189,650,614.67","1,662,581.00"
IEX,IDEX CORP,Industrials,Equity,"186,057,135.68",0.03,"186,057,135.68","888,992.00"
KIM,KIMCO REALTY REIT CORP,Real Estate,Equity,"185,387,555.43",0.03,"185,387,555.43","7,912,401.00"
MAS,MASCO CORP,Industrials,Equity,"183,844,774.08",0.03,"183,844,774.08","2,533,344.00"
EG,EVEREST GROUP LTD,Financials,Equity,"182,933,924.46",0.03,"182,933,924.46","504,701.00"
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,"182,054,150.41",0.03,"182,054,150.41","1,643,533.00"
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,"180,389,875.44",0.03,"180,389,875.44","5,918,303.00"
L,LOEWS CORP,Financials,Equity,"179,742,922.47",0.03,"179,742,922.47","2,122,363.00"
TPR,TAPESTRY INC,Consumer Discretionary,Equity,"178,765,876.16",0.03,"178,765,876.16","2,736,352.00"
LNT,ALLIANT ENERGY CORP,Utilities,Equity,"178,238,083.62",0.03,"178,238,083.62","3,013,833.00"
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Equity,"178,154,199.30",0.03,"178,154,199.30","1,826,286.00"
DLTR,DOLLAR TREE INC,Consumer Staples,Equity,"177,904,487.46",0.03,"177,904,487.46","2,373,959.00"
AVY,AVERY DENNISON CORP,Materials,Equity,"176,551,166.84",0.03,"176,551,166.84","943,468.00"
BAX,BAXTER INTERNATIONAL INC,Health Care,Equity,"174,839,365.08",0.03,"174,839,365.08","5,995,863.00"
VTRS,VIATRIS INC,Health Care,Equity,"174,634,282.50",0.03,"174,634,282.50","14,026,850.00"
GEN,GEN DIGITAL INC,Information Technology,Equity,"174,312,114.14",0.03,"174,312,114.14","6,366,403.00"
CF,CF INDUSTRIES HOLDINGS INC,Materials,Equity,"174,333,161.52",0.03,"174,333,161.52","2,043,286.00"
ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity,"171,852,690.94",0.03,"171,852,690.94","824,194.00"
FFIV,F5 INC,Information Technology,Equity,"171,545,289.90",0.03,"171,545,289.90","682,170.00"
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Equity,"170,221,075.20",0.03,"170,221,075.20","405,520.00"
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,"168,717,608.90",0.03,"168,717,608.90","1,763,906.00"
TXT,TEXTRON INC,Industrials,Equity,"166,620,002.76",0.03,"166,620,002.76","2,178,324.00"
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,Equity,"166,475,199.22",0.03,"166,475,199.22","8,212,886.00"
EVRG,EVERGY INC,Utilities,Equity,"166,383,621.85",0.03,"166,383,621.85","2,703,227.00"
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,Equity,"166,397,467.08",0.03,"166,397,467.08","1,876,381.00"
MRNA,MODERNA INC,Health Care,Equity,"165,338,088.30",0.03,"165,338,088.30","3,976,385.00"
APTV,APTIV LTD,Consumer Discretionary,Equity,"163,899,106.56",0.03,"163,899,106.56","2,709,972.00"
AMCR,AMCOR PLC,Materials,Equity,"159,849,410.85",0.03,"159,849,410.85","16,987,185.00"
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,Equity,"159,620,004.60",0.03,"159,620,004.60","935,310.00"
