Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity
T,AT&T INC,Communication,Equity,"1,918,419,497.28",0.33,"1,918,419,497.28","84,252,064.00"
SPGI,S&P GLOBAL INC,Financials,Equity,"1,856,705,144.97",0.32,"1,856,705,144.97","3,728,099.00"
MS,MORGAN STANLEY,Financials,Equity,"1,831,228,971.04",0.31,"1,831,228,971.04","14,565,932.00"
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"1,820,332,949.01",0.31,"1,820,332,949.01","24,068,927.00"
RTX,RTX CORP,Industrials,Equity,"1,808,554,784.08",0.31,"1,808,554,784.08","15,628,714.00"
PFE,PFIZER INC,Health Care,Equity,"1,765,349,496.96",0.3,"1,765,349,496.96","66,541,632.00"
BLK,BLACKROCK INC,Financials,Equity,"1,752,017,551.22",0.3,"1,752,017,551.22","1,709,102.00"
DHR,DANAHER CORP,Health Care,Equity,"1,732,649,597.85",0.3,"1,732,649,597.85","7,548,027.00"
NEE,NEXTERA ENERGY INC,Utilities,Equity,"1,731,006,810.18",0.3,"1,731,006,810.18","24,145,722.00"
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"1,724,721,427.03",0.29,"1,724,721,427.03","7,635,227.00"
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"1,682,105,108.40",0.29,"1,682,105,108.40","44,820,280.00"
PGR,PROGRESSIVE CORP,Financials,Equity,"1,648,189,732.35",0.28,"1,648,189,732.35","6,878,635.00"
AMGN,AMGEN INC,Health Care,Equity,"1,645,077,578.40",0.28,"1,645,077,578.40","6,311,685.00"
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"1,643,985,887.60",0.28,"1,643,985,887.60","6,661,207.00"
UNP,UNION PACIFIC CORP,Industrials,Equity,"1,623,349,716.24",0.28,"1,623,349,716.24","7,118,706.00"
TJX,TJX INC,Consumer Discretionary,Equity,"1,599,940,590.45",0.27,"1,599,940,590.45","13,243,445.00"
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"1,574,279,867.16",0.27,"1,574,279,867.16","9,680,132.00"
C,CITIGROUP INC,Financials,Equity,"1,563,163,329.81",0.27,"1,563,163,329.81","22,207,179.00"
BA,BOEING,Industrials,Equity,"1,553,702,814.00",0.27,"1,553,702,814.00","8,777,982.00"
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"1,545,928,230.00",0.26,"1,545,928,230.00","17,307,750.00"
ETN,EATON PLC,Industrials,Equity,"1,540,018,176.62",0.26,"1,540,018,176.62","4,640,426.00"
COP,CONOCOPHILLIPS,Energy,Equity,"1,506,276,965.29",0.26,"1,506,276,965.29","15,188,837.00"
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"1,491,425,813.28",0.25,"1,491,425,813.28","24,725,229.00"
BX,BLACKSTONE INC,Financials,Equity,"1,461,724,171.90",0.25,"1,461,724,171.90","8,477,695.00"
SYK,STRYKER CORP,Health Care,Equity,"1,450,598,244.00",0.25,"1,450,598,244.00","4,028,880.00"
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"1,400,530,386.48",0.24,"1,400,530,386.48","4,784,376.00"
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"1,398,385,526.96",0.24,"1,398,385,526.96","7,685,126.00"
FI,FISERV INC,Financials,Equity,"1,372,263,733.86",0.23,"1,372,263,733.86","6,680,283.00"
GILD,GILEAD SCIENCES INC,Health Care,Equity,"1,351,609,567.20",0.23,"1,351,609,567.20","14,632,560.00"
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"1,346,962,825.60",0.23,"1,346,962,825.60","23,814,760.00"
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"1,340,673,082.35",0.23,"1,340,673,082.35","12,129,495.00"
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"1,299,356,046.93",0.22,"1,299,356,046.93","17,556,493.00"
DE,DEERE,Industrials,Equity,"1,265,897,811.40",0.22,"1,265,897,811.40","2,987,722.00"
TMUS,T MOBILE US INC,Communication,Equity,"1,263,267,588.55",0.22,"1,263,267,588.55","5,723,135.00"
ADI,ANALOG DEVICES INC,Information Technology,Equity,"1,238,592,721.74",0.21,"1,238,592,721.74","5,829,769.00"
MMC,MARSH & MCLENNAN INC,Financials,Equity,"1,224,900,923.62",0.21,"1,224,900,923.62","5,766,682.00"
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"1,217,714,865.20",0.21,"1,217,714,865.20","3,023,876.00"
CB,CHUBB LTD,Financials,Equity,"1,216,229,773.50",0.21,"1,216,229,773.50","4,401,845.00"
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"1,214,497,076.25",0.21,"1,214,497,076.25","13,309,557.00"
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"1,203,744,813.18",0.21,"1,203,744,813.18","2,477,147.00"
MDT,MEDTRONIC PLC,Health Care,Equity,"1,202,889,035.88",0.21,"1,202,889,035.88","15,058,701.00"
KKR,KKR AND CO INC,Financials,Equity,"1,172,406,396.35",0.2,"1,172,406,396.35","7,926,485.00"
PLD,PROLOGIS REIT INC,Real Estate,Equity,"1,149,500,606.80",0.2,"1,149,500,606.80","10,875,124.00"
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"1,095,660,945.60",0.19,"1,095,660,945.60","13,018,785.00"
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"1,091,262,613.49",0.19,"1,091,262,613.49","15,108,163.00"
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"1,082,915,148.90",0.18,"1,082,915,148.90","8,587,749.00"
EQIX,EQUINIX REIT INC,Real Estate,Equity,"1,068,242,511.05",0.18,"1,068,242,511.05","1,132,945.00"
GEV,GE VERNOVA INC,Industrials,Equity,"1,064,670,756.10",0.18,"1,064,670,756.10","3,236,770.00"
SO,SOUTHERN,Utilities,Equity,"1,059,086,725.20",0.18,"1,059,086,725.20","12,865,485.00"
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"1,057,863,346.19",0.18,"1,057,863,346.19","13,979,957.00"
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"1,040,595,524.01",0.18,"1,040,595,524.01","19,900,469.00"
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"1,015,393,934.45",0.17,"1,015,393,934.45","50,643,089.00"
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"1,006,362,783.37",0.17,"1,006,362,783.37","5,486,957.00"
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"1,004,722,276.50",0.17,"1,004,722,276.50","11,771,790.00"
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"1,004,628,847.23",0.17,"1,004,628,847.23","6,742,023.00"
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"1,004,588,111.10",0.17,"1,004,588,111.10","2,723,199.00"
KLAC,KLA CORP,Information Technology,Equity,"989,658,910.56",0.17,"989,658,910.56","1,570,588.00"
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"983,006,898.15",0.17,"983,006,898.15","14,154,167.00"
CME,CME GROUP INC CLASS A,Financials,Equity,"982,636,192.38",0.17,"982,636,192.38","4,231,306.00"
DUK,DUKE ENERGY CORP,Utilities,Equity,"977,615,413.86",0.17,"977,615,413.86","9,073,839.00"
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"975,889,921.70",0.17,"975,889,921.70","2,642,182.00"
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"967,152,496.76",0.17,"967,152,496.76","3,218,906.00"
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"964,774,010.70",0.16,"964,774,010.70","15,999,569.00"
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"961,050,870.45",0.16,"961,050,870.45","1,511,015.00"
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"937,713,514.65",0.16,"937,713,514.65","15,699,205.00"
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"934,980,257.12",0.16,"934,980,257.12","2,732,582.00"
SHW,SHERWIN WILLIAMS,Materials,Equity,"924,820,356.60",0.16,"924,820,356.60","2,720,620.00"
AON,AON PLC CLASS A,Financials,Equity,"912,069,939.48",0.16,"912,069,939.48","2,539,453.00"
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,"907,019,599.87",0.15,"907,019,599.87","1,962,269.00"
CI,CIGNA,Health Care,Equity,"901,890,636.82",0.15,"901,890,636.82","3,266,063.00"
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,"898,489,114.25",0.15,"898,489,114.25","4,659,005.00"
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"880,517,523.97",0.15,"880,517,523.97","1,236,109.00"
USB,US BANCORP,Financials,Equity,"876,141,091.45",0.15,"876,141,091.45","18,317,815.00"
WELL,WELLTOWER INC,Real Estate,Equity,"875,403,875.88",0.15,"875,403,875.88","6,945,996.00"
SNPS,SYNOPSYS INC,Information Technology,Equity,"875,431,698.00",0.15,"875,431,698.00","1,803,675.00"
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"872,124,902.98",0.15,"872,124,902.98","9,593,278.00"
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Equity,"866,848,536.08",0.15,"866,848,536.08","5,248,538.00"
MCO,MOODYS CORP,Financials,Equity,"866,152,544.46",0.15,"866,152,544.46","1,829,758.00"
WM,WASTE MANAGEMENT INC,Industrials,Equity,"865,420,001.64",0.15,"865,420,001.64","4,288,716.00"
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"863,132,265.45",0.15,"863,132,265.45","5,297,565.00"
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"858,142,748.71",0.15,"858,142,748.71","858,142,749.00"
MCK,MCKESSON CORP,Health Care,Equity,"849,453,704.55",0.14,"849,453,704.55","1,490,505.00"
TDG,TRANSDIGM GROUP INC,Industrials,Equity,"836,746,965.60",0.14,"836,746,965.60","660,270.00"
AJG,ARTHUR J GALLAGHER,Financials,Equity,"832,543,971.70",0.14,"832,543,971.70","2,933,042.00"
EMR,EMERSON ELECTRIC,Industrials,Equity,"829,747,661.49",0.14,"829,747,661.49","6,695,293.00"
MMM,3M,Industrials,Equity,"825,427,536.18",0.14,"825,427,536.18","6,394,202.00"
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"821,586,384.21",0.14,"821,586,384.21","3,672,551.00"
EOG,EOG RESOURCES INC,Energy,Equity,"809,545,287.60",0.14,"809,545,287.60","6,604,220.00"
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"803,830,104.00",0.14,"803,830,104.00","677,880.00"
ITW,ILLINOIS TOOL INC,Industrials,Equity,"800,081,195.52",0.14,"800,081,195.52","3,155,392.00"
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"798,793,534.32",0.14,"798,793,534.32","4,479,551.00"
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"798,435,302.70",0.14,"798,435,302.70","3,030,230.00"
WMB,WILLIAMS INC,Energy,Equity,"774,649,975.44",0.13,"774,649,975.44","14,313,562.00"
BDX,BECTON DICKINSON,Health Care,Equity,"769,991,108.25",0.13,"769,991,108.25","3,393,975.00"
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"757,127,667.00",0.13,"757,127,667.00","2,610,425.00"
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,"755,452,365.18",0.13,"755,452,365.18","2,708,297.00"
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"754,650,701.01",0.13,"754,650,701.01","1,608,069.00"
ADSK,AUTODESK INC,Information Technology,Equity,"746,164,100.44",0.13,"746,164,100.44","2,524,492.00"
FDX,FEDEX CORP,Industrials,Equity,"742,504,422.45",0.13,"742,504,422.45","2,639,265.00"
CTAS,CINTAS CORP,Industrials,Equity,"735,589,845.90",0.13,"735,589,845.90","4,026,217.00"
TGT,TARGET CORP,Consumer Staples,Equity,"731,212,952.40",0.12,"731,212,952.40","5,409,180.00"
CSX,CSX CORP,Industrials,Equity,"730,703,421.56",0.12,"730,703,421.56","22,643,428.00"
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,"707,476,221.52",0.12,"707,476,221.52","2,862,422.00"
FTNT,FORTINET INC,Information Technology,Equity,"705,740,184.88",0.12,"705,740,184.88","7,469,731.00"
ECL,ECOLAB INC,Materials,Equity,"693,373,734.48",0.12,"693,373,734.48","2,959,089.00"
OKE,ONEOK INC,Energy,Equity,"688,696,209.60",0.12,"688,696,209.60","6,859,524.00"
GM,GENERAL MOTORS,Consumer Discretionary,Equity,"687,793,420.93",0.12,"687,793,420.93","12,911,459.00"
TFC,TRUIST FINANCIAL CORP,Financials,Equity,"676,193,037.84",0.12,"676,193,037.84","15,587,668.00"
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,"670,046,487.08",0.11,"670,046,487.08","2,904,532.00"
CARR,CARRIER GLOBAL CORP,Industrials,Equity,"668,793,732.40",0.11,"668,793,732.40","9,797,740.00"
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,"667,937,975.55",0.11,"667,937,975.55","5,082,855.00"
CVS,CVS HEALTH CORP,Health Care,Equity,"663,673,736.05",0.11,"663,673,736.05","14,784,445.00"
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,"655,919,606.55",0.11,"655,919,606.55","8,537,285.00"
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,"654,855,045.00",0.11,"654,855,045.00","1,259,700.00"
SRE,SEMPRA,Utilities,Equity,"652,409,342.04",0.11,"652,409,342.04","7,437,407.00"
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Equity,"649,248,575.85",0.11,"649,248,575.85","3,661,245.00"
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,"645,329,159.55",0.11,"645,329,159.55","2,500,985.00"
HCA,HCA HEALTHCARE INC,Health Care,Equity,"642,731,305.05",0.11,"642,731,305.05","2,141,367.00"
FCX,FREEPORT MCMORAN INC,Materials,Equity,"642,500,458.88",0.11,"642,500,458.88","16,872,386.00"
TRV,TRAVELERS COMPANIES INC,Financials,Equity,"642,123,610.70",0.11,"642,123,610.70","2,665,630.00"
PCAR,PACCAR INC,Industrials,Equity,"640,382,486.80",0.11,"640,382,486.80","6,156,340.00"
SLB,SCHLUMBERGER NV,Energy,Equity,"635,736,281.94",0.11,"635,736,281.94","16,581,541.00"
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"635,539,364.00",0.11,"635,539,364.00","198,482.00"
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,"623,457,784.10",0.11,"623,457,784.10","2,656,403.00"
KMI,KINDER MORGAN INC,Energy,Equity,"621,784,829.80",0.11,"621,784,829.80","22,692,877.00"
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"620,368,270.74",0.11,"620,368,270.74","3,602,394.00"
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,"620,280,935.20",0.11,"620,280,935.20","2,984,272.00"
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity,"619,109,476.47",0.11,"619,109,476.47","7,843,779.00"
AFL,AFLAC INC,Financials,Equity,"607,261,484.16",0.1,"607,261,484.16","5,870,664.00"
AMP,AMERIPRISE FINANCE INC,Financials,Equity,"606,529,347.96",0.1,"606,529,347.96","1,139,172.00"
ALL,ALLSTATE CORP,Financials,Equity,"599,446,573.96",0.1,"599,446,573.96","3,109,324.00"
CPRT,COPART INC,Industrials,Equity,"590,680,204.71",0.1,"590,680,204.71","10,292,389.00"
ROST,ROSS STORES INC,Consumer Discretionary,Equity,"589,272,133.73",0.1,"589,272,133.73","3,895,499.00"
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,"576,790,187.52",0.1,"576,790,187.52","6,253,824.00"
FICO,FAIR ISAAC CORP,Information Technology,Equity,"569,284,533.27",0.1,"569,284,533.27","285,939.00"
CMI,CUMMINS INC,Industrials,Equity,"561,588,325.20",0.1,"561,588,325.20","1,610,982.00"
MET,METLIFE INC,Financials,Equity,"559,199,705.64",0.1,"559,199,705.64","6,829,503.00"
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,"554,404,476.24",0.09,"554,404,476.24","1,851,471.00"
PSX,PHILLIPS,Energy,Equity,"552,488,268.38",0.09,"552,488,268.38","4,849,366.00"
MSCI,MSCI INC,Financials,Equity,"552,162,802.56",0.09,"552,162,802.56","920,256.00"
VST,VISTRA CORP,Utilities,Equity,"550,772,726.90",0.09,"550,772,726.90","3,994,870.00"
O,REALTY INCOME REIT CORP,Real Estate,Equity,"548,878,547.00",0.09,"548,878,547.00","10,276,700.00"
GWW,WW GRAINGER INC,Industrials,Equity,"548,511,809.25",0.09,"548,511,809.25","520,385.00"
PWR,QUANTA SERVICES INC,Industrials,Equity,"547,321,799.85",0.09,"547,321,799.85","1,731,757.00"
URI,UNITED RENTALS INC,Industrials,Equity,"542,765,384.48",0.09,"542,765,384.48","770,492.00"
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,"533,205,036.00",0.09,"533,205,036.00","7,324,245.00"
D,DOMINION ENERGY INC,Utilities,Equity,"531,061,808.26",0.09,"531,061,808.26","9,860,041.00"
PAYX,PAYCHEX INC,Industrials,Equity,"527,373,169.02",0.09,"527,373,169.02","3,761,041.00"
MPC,MARATHON PETROLEUM CORP,Energy,Equity,"526,445,239.50",0.09,"526,445,239.50","3,773,801.00"
HWM,HOWMET AEROSPACE INC,Industrials,Equity,"521,743,788.39",0.09,"521,743,788.39","4,770,447.00"
PCG,PG&E CORP,Utilities,Equity,"518,027,965.70",0.09,"518,027,965.70","25,670,365.00"
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,"513,116,079.84",0.09,"513,116,079.84","3,915,721.00"
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity,"512,685,807.37",0.09,"512,685,807.37","6,925,379.00"
DFS,DISCOVER FINANCIAL SERVICES,Financials,Equity,"510,696,418.09",0.09,"510,696,418.09","2,948,083.00"
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,Equity,"510,578,427.99",0.09,"510,578,427.99","6,321,387.00"
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Equity,"507,175,086.60",0.09,"507,175,086.60","1,326,260.00"
AXON,AXON ENTERPRISE INC,Industrials,Equity,"505,515,516.96",0.09,"505,515,516.96","850,578.00"
TEL,TE CONNECTIVITY PLC,Information Technology,Equity,"502,224,873.03",0.09,"502,224,873.03","3,512,799.00"
NEM,NEWMONT,Materials,Equity,"497,544,677.40",0.08,"497,544,677.40","13,367,670.00"
PRU,PRUDENTIAL FINANCIAL INC,Financials,Equity,"495,470,453.31",0.08,"495,470,453.31","4,180,127.00"
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Equity,"494,275,709.41",0.08,"494,275,709.41","5,850,109.00"
AME,AMETEK INC,Industrials,Equity,"489,596,795.34",0.08,"489,596,795.34","2,716,059.00"
FAST,FASTENAL,Industrials,Equity,"483,972,780.87",0.08,"483,972,780.87","6,730,257.00"
RSG,REPUBLIC SERVICES INC,Industrials,Equity,"480,833,276.70",0.08,"480,833,276.70","2,390,065.00"
KVUE,KENVUE INC,Consumer Staples,Equity,"480,556,923.35",0.08,"480,556,923.35","22,508,521.00"
DHI,D R HORTON INC,Consumer Discretionary,Equity,"478,776,537.70",0.08,"478,776,537.70","3,424,235.00"
KR,KROGER,Consumer Staples,Equity,"477,923,450.80",0.08,"477,923,450.80","7,815,592.00"
BKR,BAKER HUGHES CLASS A,Energy,Equity,"476,612,774.68",0.08,"476,612,774.68","11,619,034.00"
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,Equity,"468,304,704.84",0.08,"468,304,704.84","2,227,053.00"
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,"463,715,360.97",0.08,"463,715,360.97","3,531,993.00"
CCI,CROWN CASTLE INC,Real Estate,Equity,"463,154,179.40",0.08,"463,154,179.40","5,103,065.00"
COR,CENCORA INC,Health Care,Equity,"462,674,761.48",0.08,"462,674,761.48","2,059,261.00"
CTVA,CORTEVA INC,Materials,Equity,"459,678,592.00",0.08,"459,678,592.00","8,070,200.00"
TRGP,TARGA RESOURCES CORP,Energy,Equity,"457,037,290.50",0.08,"457,037,290.50","2,560,433.00"
VRSK,VERISK ANALYTICS INC,Industrials,Equity,"456,698,195.04",0.08,"456,698,195.04","1,658,128.00"
VLO,VALERO ENERGY CORP,Energy,Equity,"455,702,090.74",0.08,"455,702,090.74","3,717,286.00"
DAL,DELTA AIR LINES INC,Industrials,Equity,"455,440,975.00",0.08,"455,440,975.00","7,527,950.00"
XEL,XCEL ENERGY INC,Utilities,Equity,"455,265,416.00",0.08,"455,265,416.00","6,742,675.00"
F,FORD MOTOR CO,Consumer Discretionary,Equity,"453,757,401.90",0.08,"453,757,401.90","45,834,081.00"
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,"453,242,740.32",0.08,"453,242,740.32","3,373,848.00"
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,Equity,"447,919,583.80",0.08,"447,919,583.80","5,824,702.00"
EXC,EXELON CORP,Utilities,Equity,"444,106,229.76",0.08,"444,106,229.76","11,798,784.00"
SYY,SYSCO CORP,Consumer Staples,Equity,"441,014,475.06",0.08,"441,014,475.06","5,767,911.00"
YUM,YUM BRANDS INC,Consumer Discretionary,Equity,"439,614,817.20",0.08,"439,614,817.20","3,276,795.00"
IT,GARTNER INC,Information Technology,Equity,"438,252,046.47",0.07,"438,252,046.47","904,601.00"
OTIS,OTIS WORLDWIDE CORP,Industrials,Equity,"434,389,427.64",0.07,"434,389,427.64","4,690,524.00"
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,"432,141,644.88",0.07,"432,141,644.88","8,221,873.00"
HES,HESS CORP,Energy,Equity,"431,660,678.25",0.07,"431,660,678.25","3,245,325.00"
GLW,CORNING INC,Information Technology,Equity,"430,067,262.24",0.07,"430,067,262.24","9,050,237.00"
IR,INGERSOLL RAND INC,Industrials,Equity,"428,066,127.84",0.07,"428,066,127.84","4,732,104.00"
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,"424,618,273.64",0.07,"424,618,273.64","13,219,747.00"
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,"419,407,164.30",0.07,"419,407,164.30","5,364,635.00"
GIS,GENERAL MILLS INC,Consumer Staples,Equity,"415,697,435.23",0.07,"415,697,435.23","6,518,699.00"
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"415,638,758.52",0.07,"415,638,758.52","3,606,723.00"
USD,USD CASH,Cash and/or Derivatives,Cash,"413,324,401.17",0.07,"413,324,401.17","413,324,401.00"
EA,ELECTRONIC ARTS INC,Communication,Equity,"409,991,120.00",0.07,"409,991,120.00","2,802,400.00"
ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity,"406,484,897.15",0.07,"406,484,897.15","4,401,569.00"
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,Equity,"405,131,233.00",0.07,"405,131,233.00","1,833,173.00"
VMC,VULCAN MATERIALS,Materials,Equity,"398,870,612.74",0.07,"398,870,612.74","1,550,638.00"
IQV,IQVIA HOLDINGS INC,Health Care,Equity,"397,847,268.15",0.07,"397,847,268.15","2,024,565.00"
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,"397,533,722.88",0.07,"397,533,722.88","961,527.00"
RMD,RESMED INC,Health Care,Equity,"394,173,743.04",0.07,"394,173,743.04","1,723,616.00"
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,"391,969,381.77",0.07,"391,969,381.77","7,932,997.00"
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,"389,143,868.40",0.07,"389,143,868.40","2,206,031.00"
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Equity,"389,170,774.90",0.07,"389,170,774.90","1,135,370.00"
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,Equity,"382,662,957.89",0.07,"382,662,957.89","2,018,371.00"
LEN,LENNAR A CORP CLASS A,Consumer Discretionary,Equity,"382,386,662.06",0.07,"382,386,662.06","2,804,038.00"
ETR,ENTERGY CORP,Utilities,Equity,"381,762,874.22",0.07,"381,762,874.22","5,035,121.00"
ROK,ROCKWELL AUTOMATION INC,Industrials,Equity,"378,836,650.83",0.06,"378,836,650.83","1,325,577.00"
NDAQ,NASDAQ INC,Financials,Equity,"375,659,108.37",0.06,"375,659,108.37","4,859,127.00"
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Equity,"374,965,049.80",0.06,"374,965,049.80","3,861,638.00"
DD,DUPONT DE NEMOURS INC,Materials,Equity,"374,092,565.00",0.06,"374,092,565.00","4,906,132.00"
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,Equity,"372,370,407.20",0.06,"372,370,407.20","2,489,107.00"
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials,Equity,"372,384,472.00",0.06,"372,384,472.00","3,403,880.00"
GRMN,GARMIN LTD,Consumer Discretionary,Equity,"372,040,649.96",0.06,"372,040,649.96","1,803,746.00"
MLM,MARTIN MARIETTA MATERIALS INC,Materials,Equity,"370,666,225.00",0.06,"370,666,225.00","717,650.00"
EFX,EQUIFAX INC,Industrials,Equity,"370,640,842.65",0.06,"370,640,842.65","1,454,349.00"
WTW,WILLIS TOWERS WATSON PLC,Financials,Equity,"370,487,742.40",0.06,"370,487,742.40","1,182,760.00"
HPQ,HP INC,Information Technology,Equity,"369,240,101.10",0.06,"369,240,101.10","11,315,970.00"
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,Equity,"366,891,262.55",0.06,"366,891,262.55","1,667,915.00"
MTB,M&T BANK CORP,Financials,Equity,"366,284,090.16",0.06,"366,284,090.16","1,948,216.00"
ED,CONSOLIDATED EDISON INC,Utilities,Equity,"362,647,049.09",0.06,"362,647,049.09","4,064,183.00"
EIX,EDISON INTERNATIONAL,Utilities,Equity,"362,360,067.52",0.06,"362,360,067.52","4,538,578.00"
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity,"362,273,566.72",0.06,"362,273,566.72","1,783,808.00"
IRM,IRON MOUNTAIN INC,Real Estate,Equity,"362,324,365.67",0.06,"362,324,365.67","3,447,097.00"
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,"361,674,448.70",0.06,"361,674,448.70","6,306,442.00"
VICI,VICI PPTYS INC,Real Estate,Equity,"361,565,586.24",0.06,"361,565,586.24","12,378,144.00"
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,"359,488,728.57",0.06,"359,488,728.57","2,194,279.00"
CNC,CENTENE CORP,Health Care,Equity,"359,122,177.70",0.06,"359,122,177.70","5,928,065.00"
HUM,HUMANA INC,Health Care,Equity,"358,710,674.31",0.06,"358,710,674.31","1,413,861.00"
DXCM,DEXCOM INC,Health Care,Equity,"356,683,628.07",0.06,"356,683,628.07","4,586,391.00"
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,"352,660,832.16",0.06,"352,660,832.16","1,915,802.00"
WEC,WEC ENERGY GROUP INC,Utilities,Equity,"349,422,829.32",0.06,"349,422,829.32","3,715,683.00"
EBAY,EBAY INC,Consumer Discretionary,Equity,"348,434,987.25",0.06,"348,434,987.25","5,624,455.00"
ANSS,ANSYS INC,Information Technology,Equity,"346,363,360.07",0.06,"346,363,360.07","1,026,779.00"
