ts_event,AAPL,MSFT,AMZN,GOOG,NVDA,TSLA,META,OTHERS
2023-07-26 00:00:00+00:00,0.07675132129391618,0.06529428348440121,0.03154517857186489,0.01617336083009733,0.029313530823789884,0.019419008072656428,0.017055405525463252,0.7444479113978107
2023-07-27 00:00:00+00:00,0.07675511174686771,0.06435814551474163,0.031780500243660775,0.016307676009943737,0.029800036466062118,0.018909690263541647,0.017924852580180176,0.7441639871750022
2023-07-28 00:00:00+00:00,0.07703768459649124,0.06520842045425986,0.0324441519973163,0.01654003005798822,0.030057613251670282,0.019512139620971376,0.01853522796063527,0.7406647320606675
2023-07-29 00:00:00+00:00,0.07703768459649124,0.06520842045425986,0.0324441519973163,0.01654003005798822,0.030057613251670282,0.019512139620971376,0.01853522796063527,0.7406647320606675
2023-07-30 00:00:00+00:00,0.07703768459649124,0.06520842045425986,0.0324441519973163,0.01654003005798822,0.030057613251670282,0.019512139620971376,0.01853522796063527,0.7406647320606675
2023-07-31 00:00:00+00:00,0.07713471772502882,0.06461324528443192,0.03274254423734177,0.016521008261213815,0.029987014391175393,0.019547420622344838,0.018108949589265018,0.7413450998891985
2023-08-01 00:00:00+00:00,0.07702334807238409,0.06487969390014203,0.032347696754907444,0.016416565832932613,0.029930201860876124,0.01913730958321564,0.018395199027613246,0.7418699849679288
2023-08-02 00:00:00+00:00,0.07690196309494722,0.06406567109582727,0.03193715813990047,0.01623791556634297,0.028891815649937324,0.018889891899111333,0.01816912736984327,0.7449064571840902
2023-08-03 00:00:00+00:00,0.07655831508266198,0.06408500402460421,0.03220381771357211,0.01630104047858764,0.02913586282838705,0.019332593179156855,0.018156416651790474,0.7442269500412396
2023-08-04 00:00:00+00:00,0.07321310178104104,0.06459688326499725,0.035025269443367445,0.01634585269607661,0.02937672147442746,0.019011528283330564,0.018095646084176794,0.7443349969725829
2023-08-05 00:00:00+00:00,0.07321310178104104,0.06459688326499725,0.035025269443367445,0.01634585269607661,0.02937672147442746,0.019011528283330564,0.018095646084176794,0.7443349969725829
2023-08-06 00:00:00+00:00,0.07321310178104104,0.06459688326499725,0.035025269443367445,0.01634585269607661,0.02937672147442746,0.019011528283330564,0.018095646084176794,0.7443349969725829
2023-08-07 00:00:00+00:00,0.07132732898910427,0.06449314100279119,0.03538146535747356,0.016633034946218282,0.029602579671953563,0.018668100453319805,0.018275643630836138,0.7456187059483032
2023-08-08 00:00:00+00:00,0.07201938552452944,0.06397816215301215,0.03496630314670372,0.01669302032200016,0.029239249321586586,0.018619145212933976,0.01812816699199155,0.7463565673272424
2023-08-09 00:00:00+00:00,0.0718548659240484,0.06365414049934616,0.0346759007007726,0.016589948257068526,0.028045431362479174,0.01818069726417825,0.017816452786203595,0.7491825632059033
2023-08-10 00:00:00+00:00,0.07174039760386423,0.06376952807552637,0.034841992120623486,0.01659164020377052,0.027926003234431798,0.018410552095068266,0.01784098659921939,0.7488789000674959
2023-08-11 00:00:00+00:00,0.07180648042100324,0.06342736389860523,0.03482457798463707,0.016596219773159105,0.026931736903542586,0.018219314684567632,0.017612006128816637,0.7505823002056685
2023-08-12 00:00:00+00:00,0.07180648042100324,0.06342736389860523,0.03482457798463707,0.016596219773159105,0.026931736903542586,0.018219314684567632,0.017612006128816637,0.7505823002056685
2023-08-13 00:00:00+00:00,0.07180648042100324,0.06342736389860523,0.03482457798463707,0.016596219773159105,0.026931736903542586,0.018219314684567632,0.017612006128816637,0.7505823002056685
